Sex,Length,Diameter,Height,Weight
0,1.45,1.1375,0.425,26.365035
0,1.4,1.125,0.4625,30.333965
0,1.4625,1.125,0.375,29.6819265
0,1.7875,1.4125,0.4375,55.35239875
0,1.625,1.2875,0.3125,33.46658475
0,1.3125,1.0125,0.3375,21.47474625
0,1.0625,0.8125,0.3,10.64523725
1,1.3125,1.0625,0.4,23.68600725
1,1.125,0.9,0.3125,14.35902175
0,1.325,1.0625,0.3875,22.41027975
0,1.6125,1.2875,0.4375,45.68521925
0,1.6125,1.2375,0.4625,42.33997825
0,1.475,1.1,0.375,24.73493875
0,1.2375,0.9875,0.3125,15.35125425
0,1.5625,1.2625,0.4625,32.78619675
0,1.6375,1.45,0.5125,58.98113475
0,1.6125,1.225,0.4,35.4652245
0,1.6,1.225,0.3875,31.99241075
0,1.6,1.2875,0.2,29.540179
0,1.3875,1.15,0.4,24.38057
0,1.6375,1.225,0.4375,38.51279575
1,1.5375,1.1875,0.3625,27.00289875
0,1.025,0.8125,0.25,10.07824725
1,1.5375,1.1875,0.4375,33.849303
1,1.4125,1.125,0.4875,28.44872325
1,1.25,0.9625,0.2875,19.23513575
0,1.6,1.2875,0.45,35.3518265
1,1.3,0.9375,0.3375,15.23785625
1,1.5875,1.2625,0.3875,36.55668025
0,1.425,1.15,0.35,27.03124825
0,1.525,1.175,0.375,32.95629375
0,1.625,1.275,0.4375,37.32211675
1,1.5625,1.2125,0.5,39.12231
1,1.5875,1.25,0.375,39.008912
1,1.5625,1.25,0.4125,36.514156
0,0.9875,0.7,0.2,7.540967
0,1.775,1.375,0.5,53.99162275
0,1.125,0.8875,0.3,11.21222725
0,1.575,1.225,0.3875,34.8415355
1,1.2625,0.9625,0.2875,17.463292
0,1.5,1.15,0.3875,18.86659225
1,1.5,1.1875,0.3875,30.0221205
1,1.425,1.1375,0.375,31.3828965
1,1.775,1.425,0.4875,56.14618475
1,1.325,1.0375,0.2875,16.76872925
1,1.1875,0.9375,0.3125,16.40018575
1,1.6375,1.275,0.3875,36.55668025
0,1.125,0.875,0.325,13.04077
1,1.325,0.9875,0.2875,16.11669075
0,1.675,1.3,0.4125,39.405805
1,1.5625,1.225,0.3875,37.704835
0,1.6125,1.275,0.475,41.80133775
0,1.4375,1.125,0.3875,27.68328675
0,1.5125,1.1875,0.4375,34.0477495
0,1.55,1.2125,0.3875,29.7386255
1,1.5625,1.1125,0.4,30.900955
0,1.2125,1.0,0.3375,18.7957185
0,1.6625,1.35,0.4375,38.1867765
0,1.45,1.15,0.3875,29.29920825
1,1.625,1.3125,0.475,39.2640575
1,1.4375,1.175,0.3875,31.638042
1,1.425,1.1375,0.4125,30.03629525
0,1.5875,1.1875,0.425,33.83512825
1,1.1125,0.8375,0.35,12.94154675
0,1.6875,1.2875,0.3625,35.8621175
0,1.3125,0.9875,0.325,21.64484325
0,1.25,0.95,0.3,16.34348675
0,1.675,1.275,0.5,45.20327775
1,1.4,1.1125,0.3875,34.699788
1,1.4625,1.05,0.3875,27.91008275
1,1.8,1.4,0.4375,48.94541175
0,1.2375,1.0375,0.4125,21.21960075
0,1.2875,1.1375,0.3375,20.48251375
1,1.3875,1.0875,0.4125,27.499015
1,1.5125,1.2375,0.425,30.94347925
0,1.525,1.2125,0.4375,35.28095275
0,1.2625,0.9625,0.275,18.5689225
0,1.7375,1.325,0.375,41.8722115
0,1.65,1.2875,0.5,46.67745175
1,1.2,0.95,0.3625,16.726205
1,1.5625,1.225,0.5,39.19318375
1,1.65,1.4125,0.4875,49.90929475
1,0.95,0.7625,0.2625,7.9662095
0,1.575,1.2125,0.3625,30.107169
1,1.7875,1.3125,0.4625,44.22522
0,1.575,1.2625,0.4125,35.72037
1,1.4375,1.15,0.375,26.2799865
0,1.425,1.1,0.3625,24.99008425
1,1.45,1.125,0.3875,26.365035
1,1.2625,0.975,0.4,18.257078
0,1.5,1.1375,0.425,33.77842925
1,0.95,0.8,0.2875,18.35630125
0,1.7625,1.4,0.4125,47.4854125
1,1.5,1.25,0.4,31.808139
1,1.4875,1.2375,0.4625,36.4291075
0,1.2,0.925,0.325,18.2287285
0,1.65,1.3,0.475,44.168521
0,1.4875,1.1625,0.4375,31.6096925
0,0.9625,0.775,0.25,8.06543275
0,1.525,1.1875,0.425,29.10076175
1,1.4,1.025,0.4,23.28911425
0,1.5375,1.1875,0.4375,31.2694985
0,1.6375,1.3125,0.4625,35.6920205
1,1.6,1.2625,0.4125,34.68561325
0,1.5625,1.2375,0.3875,33.3673615
0,1.375,1.0125,0.35,22.75047375
1,0.95,0.725,0.2625,7.2858215
0,1.3125,1.0125,0.3,21.41804725
1,1.8,1.375,0.4875,58.7685135
1,1.8,1.3125,0.45,40.9650275
1,1.375,1.0125,0.3125,18.4555245
0,1.175,0.9375,0.2875,12.09106175
1,1.6125,1.25,0.3875,34.60056475
0,1.425,1.0875,0.3125,25.41532675
0,1.8375,1.4625,0.4625,60.214338
0,1.55,1.225,0.3875,31.18445
1,1.125,0.9125,0.2875,16.68368075
1,1.3375,1.0,0.3375,23.28911425
0,0.95,0.675,0.2375,6.2085405
0,1.625,1.2875,0.45,41.4753185
1,1.6375,1.275,0.375,29.5685285
1,1.65,1.25,0.3875,39.02308675
0,1.7375,1.425,0.575,53.4388075
0,1.375,1.0375,0.4375,29.540179
0,1.5125,1.225,0.4125,31.87901275
0,1.0,0.7625,0.2125,8.4198015
0,1.45,1.15,0.45,32.4601775
1,1.0,0.75,0.2875,8.57572375
1,1.25,0.9875,0.375,20.25571775
1,1.5625,1.225,0.3625,26.08154
0,1.2375,1.0,0.3,18.72484475
0,1.35,1.05,0.3875,20.93610575
0,1.0625,0.825,0.325,12.48795475
0,1.025,0.8125,0.3,10.61688775
0,1.3625,1.05,0.3,22.29688175
0,1.5625,1.2,0.4625,34.20367175
0,1.375,1.075,0.325,23.79940525
0,1.4125,1.0875,0.4625,29.256684
1,1.2125,0.975,0.25,15.77649675
0,1.425,1.0875,0.425,24.7491135
1,1.325,1.1,0.3375,22.21183325
0,1.475,1.1375,0.3875,25.10348225
1,1.575,1.25,0.425,37.23706825
1,1.8,1.4375,0.5375,59.53395
0,1.2875,1.0625,0.3625,26.54930675
1,1.5125,1.2625,0.45,40.653183
0,1.6125,1.325,0.4875,39.405805
1,0.9,0.6625,0.225,5.85417175
1,1.4125,1.125,0.3625,24.08290025
0,1.3625,1.1,0.3,24.28134675
0,1.4125,1.0625,0.4,26.71940375
0,1.675,1.35,0.4875,34.5013415
0,0.8625,0.675,0.2375,5.5848515
0,1.175,0.9375,0.325,16.42853525
0,1.3,1.0,0.3125,15.8473705
0,1.525,1.175,0.4375,34.416293
0,1.5375,1.2,0.4625,34.60056475
0,1.5,1.15,0.375,35.3518265
0,1.5,1.1375,0.3875,26.7902775
1,1.625,1.2625,0.4125,38.4702715
1,1.0625,0.825,0.2875,11.509897
1,1.625,1.2375,0.4,37.15201975
1,1.25,0.9375,0.35,17.123098
1,1.625,1.25,0.4125,32.44600275
0,1.4875,1.1875,0.4125,34.3879435
1,1.4375,1.2125,0.4125,29.49765475
0,1.2625,1.0,0.3875,23.85610425
0,1.475,1.1875,0.4,26.80445225
0,1.525,1.1875,0.4375,29.029888
1,1.5625,1.225,0.4125,31.9498865
1,1.65,1.25,0.4125,33.75007975
1,1.375,1.025,0.3625,23.48756075
1,1.125,0.875,0.3625,15.37960375
1,1.3625,1.0875,0.375,19.43358225
1,1.2625,1.0,0.4125,20.6667855
0,1.2875,0.975,0.35,19.220961
0,1.6,1.4125,0.575,43.1195895
1,1.65,1.3375,0.4375,43.02036625
0,1.5875,1.2375,0.4875,33.225614
1,1.6,1.25,0.425,31.75144
1,1.5,1.1875,0.3875,34.302895
0,1.5125,1.1875,0.3625,25.060958
0,1.425,1.125,0.3625,26.932025
0,1.45,1.1375,0.375,28.689694
1,1.7375,1.4125,0.475,49.99434325
0,1.225,0.975,0.35,20.0430965
1,1.75,1.35,0.5375,56.075311
1,1.5125,1.2125,0.4125,26.97454925
1,1.7,1.2875,0.4375,45.88366575
1,1.2875,1.0875,0.425,17.8885345
0,1.525,1.25,0.4125,36.04638925
1,1.55,1.1875,0.4375,28.81726675
1,1.3625,1.0375,0.4,21.87163925
1,1.0875,0.9875,0.2625,10.30504325
1,1.2625,1.025,0.3375,18.6256215
1,1.4625,1.1625,0.3625,27.93843225
0,1.6,1.3125,0.5,39.02308675
0,1.0375,0.7625,0.25,9.2135875
1,1.5,1.2,0.425,29.937072
1,1.425,1.1625,0.3875,27.45649075
1,1.5375,1.1875,0.425,29.9087225
1,1.525,1.1875,0.4,31.62386725
1,1.7,1.2625,0.425,38.08755325
1,1.3375,1.0,0.375,22.80717275
0,1.675,1.3125,0.4875,40.83745475
0,1.2625,1.0,0.325,21.659018
1,1.6,1.2125,0.4625,40.24211525
1,1.3,1.0,0.325,17.70426275
1,1.525,1.2375,0.4625,32.6869735
1,1.6875,1.375,0.475,43.9700745
0,1.75,1.325,0.475,37.37881575
1,1.3625,1.05,0.4375,21.375523
1,1.6375,1.275,0.4375,40.1145425
0,1.6375,1.35,0.4125,39.7743485
1,1.425,1.175,0.35,24.6924145
0,1.3875,1.1,0.375,23.756881
0,1.5,1.15,0.425,33.46658475
0,1.3,1.0625,0.3875,21.92833825
1,1.5125,1.175,0.3875,27.612413
0,1.525,0.9125,0.3875,30.51823675
1,1.625,1.3125,0.4125,35.096681
1,1.525,1.175,0.4,28.8314415
1,1.6125,1.3,0.525,44.04094825
0,1.5,1.2375,0.4625,31.59551775
1,0.875,0.6625,0.225,5.25883225
0,1.6375,1.325,0.4875,39.349106
1,1.375,1.125,0.375,24.8058125
0,1.575,1.2875,0.3875,35.6920205
1,1.5125,1.2125,0.4125,30.43318825
1,1.175,0.9375,0.3125,15.91824425
0,1.55,1.2375,0.4875,42.93531775
1,1.6125,1.3375,0.475,35.13920525
1,1.65,1.2375,0.525,43.885026
1,1.475,1.1375,0.375,27.669112
1,1.3875,1.075,0.3375,23.019794
1,1.675,1.4625,0.4,37.1094955
0,1.1,0.8875,0.3125,13.53688625
0,1.6,1.275,0.4375,38.782116
0,1.4875,1.0875,0.4,29.9654215
0,1.3875,1.075,0.4125,21.47474625
1,1.425,1.1125,0.375,28.2077525
0,1.475,1.175,0.3375,33.12639075
0,1.6125,1.3,0.4375,46.379782
0,1.55,1.2875,0.4375,34.6147395
0,1.35,1.0125,0.3875,27.54153925
0,1.475,1.1375,0.3625,30.4190135
0,1.575,1.175,0.3625,31.19862475
1,1.7625,1.3875,0.4875,49.68249875
1,1.4375,1.2,0.4125,30.560761
1,1.8,1.375,0.45,43.09124
0,1.65,1.275,0.4125,46.42230625
0,1.25,1.0,0.325,21.87163925
0,1.375,1.05,0.425,23.99785175
1,1.4625,1.15,0.375,28.44872325
0,1.3625,1.075,0.3875,22.77882325
0,1.55,1.2625,0.4625,43.30386125
1,1.5875,1.2125,0.475,39.02308675
0,1.025,0.7875,0.2375,8.674947
0,1.2625,1.0,0.375,21.9708625
0,1.4375,1.1125,0.3625,24.834162
1,1.2375,0.95,0.3,16.2442635
0,1.4375,1.1875,0.3625,24.2955215
0,1.25,1.025,0.375,18.767369
0,1.35,1.0875,0.35,20.82270775
1,1.525,1.2375,0.4125,30.71668325
0,1.65,1.2125,0.3875,34.79901125
1,1.6,1.275,0.5,39.41997975
0,1.4,1.0375,0.3625,24.153774
1,1.525,1.125,0.4,32.205032
1,1.3,1.0125,0.35,19.60367925
1,1.6125,1.3,0.475,37.15201975
1,1.525,1.2375,0.4625,31.42542075
0,0.9375,0.75,0.25,6.98815175
0,1.5625,1.175,0.425,33.06969175
1,1.525,1.175,0.4125,33.40988575
0,1.525,1.1875,0.375,32.375129
0,1.5125,1.25,0.4375,31.127751
0,1.7875,1.3,0.45,45.3592
1,1.7375,1.3375,0.4375,52.12055575
0,1.375,1.1,0.4,28.0943545
0,1.2625,1.0,0.3375,20.4966885
1,1.525,1.175,0.3625,32.6869735
0,1.75,1.375,0.4875,46.05376275
0,1.4375,1.125,0.3875,25.117657
0,1.65,1.2875,0.4125,41.00755175
1,1.5625,1.2125,0.4375,38.96638775
0,1.325,1.0625,0.275,20.9502805
1,1.5125,1.1375,0.3625,27.71163625
0,0.9375,0.7125,0.2375,7.1724235
0,1.525,1.175,0.4,28.973189
1,1.775,1.3625,0.4375,54.0624965
1,1.25,0.9375,0.2875,16.85377775
0,1.25,0.95,0.3875,18.71067
0,1.4875,1.1625,0.3125,22.6512505
0,1.4625,1.1625,0.4,27.08794725
0,1.325,1.025,0.35,21.38969775
1,1.45,1.0875,0.3875,24.90503575
1,1.575,1.25,0.4625,39.2073585
0,1.5,1.2375,0.4375,36.86852475
0,1.525,1.2,0.4125,35.25260325
0,1.525,1.175,0.3875,29.27085875
1,1.5875,1.2375,0.4375,35.02580725
0,1.4375,1.1,0.4,27.25804425
0,1.3375,1.05,0.4,21.16290175
1,1.325,1.0125,0.375,25.2027055
1,1.525,1.075,0.35,25.7696955
0,1.1625,0.9,0.2875,16.42853525
0,1.1875,0.9375,0.325,14.67086625
0,1.4375,1.1125,0.4,23.7852305
1,1.25,1.0,0.3625,17.860185
0,1.55,1.2,0.375,35.890467
0,1.6,1.3125,0.45,37.23706825
0,1.5625,1.1875,0.4375,38.00250475
0,1.5375,1.175,0.4375,35.210079
0,1.175,0.9,0.3375,14.2030995
0,1.525,1.2,0.4125,35.266778
0,1.1625,0.9,0.3125,12.37455675
0,1.25,1.0,0.3125,16.93882625
0,1.8,1.4125,0.5,50.6605565
1,1.75,1.4375,0.5,49.22890675
1,1.075,0.8125,0.3,12.6155275
1,1.6375,1.275,0.4375,46.84754875
0,1.5875,1.2875,0.425,36.1456125
1,1.65,1.3125,0.5,41.4753185
1,1.325,0.9625,0.3125,18.97999025
0,1.45,1.1375,0.4875,52.7017205
1,1.625,1.2875,0.4875,39.70347475
0,1.625,1.3,0.4375,35.87629225
0,1.8625,1.4125,0.5375,54.7428845
0,1.4125,1.125,0.4,25.3728025
0,1.4375,1.1375,0.3625,33.0271675
1,1.625,1.275,0.425,44.4236665
1,1.2875,0.975,0.325,16.31513725
0,1.45,1.15,0.375,28.81726675
1,1.2625,0.975,0.2875,18.71067
0,1.6625,1.3,0.4375,38.90968875
0,1.7875,1.3625,0.45,49.34230475
1,1.375,1.1625,0.45,34.37376875
0,1.1875,0.925,0.3125,14.44407025
1,1.4125,1.1375,0.4375,28.7180435
0,1.5625,1.25,0.4375,29.95124675
1,1.5875,1.225,0.3875,32.4601775
1,1.8,1.4125,0.425,45.7277435
0,1.2,0.9875,0.375,19.32018425
0,1.375,1.125,0.325,26.08154
1,1.375,1.1625,0.375,30.674159
0,1.2375,0.95,0.3375,17.84601025
0,1.3125,1.0,0.325,23.51591025
0,1.55,1.275,0.4375,36.32988425
0,1.6125,1.2,0.375,33.792604
1,1.3125,1.075,0.3125,23.0481435
1,1.0875,0.875,0.2625,11.89261525
1,1.7,1.3,0.4625,42.354153
1,1.4625,1.1625,0.35,25.741346
1,1.575,1.275,0.4625,35.0116325
0,1.5875,1.2875,0.4125,34.8415355
1,1.1875,0.975,0.3,15.03940975
0,1.075,0.8375,0.2875,11.509897
0,1.55,1.1625,0.4625,36.117263
0,1.4125,1.1,0.4625,25.7696955
1,1.475,1.1625,0.4,31.19862475
1,1.1125,0.8125,0.3125,12.8990225
1,1.3625,1.025,0.3125,18.540573
0,1.475,1.225,0.3375,28.576296
1,1.125,0.95,0.4125,23.14736675
1,1.4875,1.075,0.525,43.21881275
1,1.5375,1.2,0.4125,32.92794425
1,1.35,1.0875,0.4375,25.287754
0,1.4375,1.175,0.4625,27.9242575
1,1.3875,1.0625,0.35,22.339406
0,1.6125,1.2625,0.4125,37.0527965
0,1.675,1.2625,0.4,35.67784575
0,1.5,1.275,0.4625,36.4291075
0,1.45,1.1625,0.4375,29.3417325
0,1.65,1.3375,0.475,45.08987975
1,1.45,1.1125,0.3625,25.174356
1,1.1375,0.925,0.2625,13.96212875
0,1.4375,1.125,0.3375,26.12406425
0,1.3375,1.0875,0.3875,25.27357925
1,1.75,1.3125,0.475,45.40172425
0,1.4,1.05,0.375,24.81998725
1,1.6875,1.3375,0.4,39.972795
1,1.65,1.325,0.425,37.591437
0,1.475,1.1625,0.3875,32.205032
1,1.45,1.25,0.4125,26.2232875
0,1.55,1.125,0.5,24.323871
1,1.6,1.25,0.425,35.84794275
0,1.275,1.0375,0.35,23.20406575
0,1.45,1.1375,0.3375,22.55202725
0,1.65,1.3125,0.45,41.900561
1,1.7125,1.35,0.5375,48.26502375
1,1.5,1.2625,0.475,32.0065855
0,1.625,1.2125,0.35,33.3106625
0,1.725,1.3125,0.5,50.53298375
0,1.7375,1.45,0.5,53.84987525
0,1.575,1.325,0.45,36.27318525
0,1.225,0.975,0.375,16.2442635
1,1.5,1.25,0.3875,37.761534
0,1.5625,1.175,0.4375,33.4240605
1,1.375,1.0625,0.35,26.988724
0,1.025,0.8375,0.2875,12.48795475
1,1.5625,1.05,0.4125,30.03629525
1,1.65,1.2625,0.4625,43.318036
1,1.575,1.2,0.4,33.9910505
0,0.95,0.7125,0.25,7.55514175
0,1.5375,1.1875,0.475,40.63900825
0,1.275,1.0125,0.325,20.34076625
0,1.1375,0.9375,0.3125,13.721158
1,1.2625,1.0,0.3125,16.5277585
0,1.1875,0.9375,0.3,15.9607685
0,1.6125,1.25,0.475,44.21104525
0,1.3625,1.05,0.3625,22.055911
0,1.4125,1.1,0.4375,25.58542375
1,1.2625,0.95,0.3375,19.43358225
0,1.275,1.025,0.3875,36.35823375
1,1.725,1.35,0.3875,41.220173
1,1.45,1.125,0.4625,28.22192725
1,1.4375,1.1125,0.35,26.6768795
0,1.6,1.225,0.35,33.849303
1,1.3,1.0625,0.3625,19.84465
0,1.6125,1.2625,0.375,32.89959475
0,1.6,1.2625,0.3875,33.89182725
1,1.7,1.375,0.4375,41.7588135
0,1.2625,0.9875,0.3375,16.76872925
1,1.625,1.275,0.3875,33.7075555
0,1.3125,1.0875,0.3875,30.1922175
0,1.375,1.1,0.3875,25.95396725
0,1.325,1.025,0.35,19.3060095
0,1.1375,0.875,0.2625,11.3681495
1,1.5875,1.3125,0.45,38.82464025
1,1.5125,1.2125,0.4,34.0477495
1,1.1625,0.95,0.3375,16.4143605
0,1.125,0.8375,0.35,13.551061
0,1.5625,1.2375,0.3875,29.72445075
1,1.125,0.875,0.3125,12.57300325
1,1.65,1.325,0.4625,38.158427
1,1.325,1.025,0.3625,23.40251225
0,1.7125,1.325,0.425,44.22522
1,1.525,1.25,0.45,40.766581
1,1.2625,0.9375,0.45,16.102516
0,1.5375,1.2,0.45,32.87124525
1,1.5625,1.2125,0.4,35.550273
1,1.6875,1.325,0.4875,42.48172575
0,1.775,1.4,0.4375,48.874538
0,1.3375,1.025,0.3375,24.437269
1,1.425,1.1625,0.4,25.33027825
1,1.65,1.3125,0.5125,38.73959175
1,1.725,1.3125,0.475,42.297454
1,1.4625,1.1625,0.4125,26.52095725
1,1.4375,1.175,0.4125,24.6357155
1,1.45,1.1,0.4375,30.4190135
0,1.1125,0.875,0.35,16.74037975
1,1.7625,1.425,0.45,43.50230775
0,1.475,1.175,0.45,31.85066325
0,1.625,1.2125,0.4,49.31395525
1,1.4375,1.15,0.4125,30.1922175
0,1.6375,1.275,0.5375,50.56133325
0,1.3625,0.975,0.3375,22.21183325
0,1.3375,1.0875,0.35,24.777463
0,1.6375,1.2625,0.4125,36.003865
0,1.4125,1.1375,0.375,27.20134525
1,1.475,1.1125,0.325,32.10580875
1,1.35,1.05,0.3625,24.53649225
0,1.225,0.9875,0.3,19.107563
1,1.55,1.275,0.45,37.74735925
0,0.875,0.6625,0.225,5.03203625
1,1.4625,1.1125,0.35,25.8830935
1,1.3125,1.0125,0.4,18.653971
0,1.275,1.0125,0.375,19.94387325
1,1.5125,1.25,0.4625,31.70891575
0,1.5875,1.3125,0.4,33.8776525
1,1.2875,1.0625,0.3375,20.184844
1,1.6875,1.325,0.4375,41.00755175
0,1.6125,1.25,0.4375,37.94580575
1,1.6625,1.2625,0.4,36.61337925
1,1.4125,1.1,0.4,25.9397925
0,1.2,0.9,0.25,12.4454305
1,1.15,0.9125,0.2875,12.71475075
0,1.4375,1.175,0.35,23.74270625
0,1.575,1.2375,0.4375,35.98969025
1,1.4875,1.1625,0.375,27.78251
1,1.6875,1.275,0.375,33.92017675
0,1.425,1.125,0.3375,28.91649
0,1.5625,1.175,0.3625,50.61803225
1,1.0,0.8125,0.3,9.02931575
0,1.5375,1.1875,0.375,29.41260625
0,1.25,0.9625,0.3,17.95940825
1,1.8,1.4375,0.45,47.35783975
1,1.5375,1.25,0.4125,37.6197865
1,1.5875,1.25,0.4375,41.8722115
0,1.7,1.35,0.525,50.70308075
1,1.2,0.9125,0.3375,18.12950525
1,1.3125,0.95,0.35,17.19397175
1,1.7375,1.325,0.5,58.04560125
1,1.0625,0.8625,0.275,10.39009175
1,1.575,1.225,0.5625,37.874932
1,1.5,1.1625,0.4,32.1199835
1,1.5875,1.2625,0.3625,32.16250775
1,1.5875,1.225,0.425,35.76289425
0,1.1125,0.8,0.3,11.736693
0,1.5625,1.25,0.35,31.071052
1,1.625,1.3625,0.4125,44.395317
0,1.8,1.4,0.45,44.97648175
0,1.475,1.175,0.375,28.22192725
0,1.6125,1.25,0.475,34.8415355
0,1.75,1.3125,0.4375,49.85259575
0,1.275,1.0,0.325,18.24290325
0,1.375,1.05,0.3625,20.93610575
0,1.575,1.175,0.375,32.19085725
1,1.55,1.175,0.35,29.27085875
1,1.375,0.95,0.4125,34.1611475
0,1.525,1.175,0.4125,29.823674
0,1.3,0.95,0.3375,16.51358375
1,1.5375,1.175,0.4375,36.81182575
1,1.5625,1.2125,0.4375,38.612019
0,1.625,1.2875,0.45,37.74735925
1,1.425,1.1125,0.3625,24.87668625
1,1.7,1.45,0.5,50.6605565
1,1.375,1.075,0.35,20.22736825
0,1.325,1.025,0.3125,21.8007655
1,1.7375,1.4,0.55,51.992983
1,1.55,1.35,0.4125,32.2900805
1,1.1625,0.875,0.3125,13.664459
0,1.525,1.1875,0.3875,33.112216
0,1.4375,1.1375,0.4125,24.5790165
0,1.4875,1.15,0.35,24.153774
1,1.1,0.85,0.2625,10.319218
1,1.6375,1.3,0.4375,41.730464
1,1.375,1.0375,0.3375,21.9708625
0,1.4625,1.15,0.375,34.189497
1,1.325,1.0375,0.4,22.1976585
1,1.35,1.05,0.35,22.77882325
0,1.475,1.15,0.3625,26.3366855
0,1.375,0.9625,0.325,20.62426125
0,1.475,1.1875,0.35,27.6974615
0,1.625,1.3125,0.475,38.79629075
1,1.5125,1.175,0.4125,33.38153625
1,1.7375,1.3375,0.5,44.94813225
1,1.45,1.1375,0.4125,32.21920675
1,1.5875,1.2125,0.4125,36.69842775
0,1.2125,0.925,0.3875,27.442316
0,1.525,1.2,0.425,32.2333815
0,1.5125,1.225,0.35,27.65493725
0,1.225,1.05,0.3125,17.2648455
1,1.225,1.0,0.2875,16.1308655
0,1.3875,1.0625,0.375,24.7491135
1,1.3,0.9875,0.45,18.14368
1,1.2,0.95,0.3375,14.3731965
0,1.45,1.1125,0.375,27.00289875
1,1.6125,1.25,0.425,33.57998275
0,1.5125,1.175,0.45,31.62386725
0,0.9,0.7375,0.325,7.83863675
1,1.3375,1.0875,0.4,22.97726975
1,1.4625,1.1375,0.425,28.19357775
0,1.65,1.325,0.4875,43.95589975
1,1.3875,1.0125,0.3,25.8830935
1,1.6,1.3125,0.4375,39.179009
1,1.4125,1.125,0.4625,26.32251075
0,1.7125,1.275,0.45,41.23434775
1,1.5625,1.25,0.4,34.5013415
0,0.85,0.6875,0.225,5.85417175
0,1.3875,1.0875,0.3625,26.09571475
1,1.6375,1.1375,0.425,36.55668025
1,1.4625,1.2125,0.375,30.5891105
1,1.075,0.8375,0.3,12.587178
1,1.5125,1.1875,0.3625,28.87396575
1,1.5,1.1875,0.375,28.56212125
1,1.3,1.025,0.2875,22.8780465
1,0.925,0.6875,0.2125,6.81805475
0,1.4,1.1,0.325,23.40251225
0,1.575,1.2875,0.4125,38.328524
0,1.575,1.1625,0.375,29.1149365
1,1.75,1.4375,0.5125,50.2636635
0,1.8125,1.4125,0.5375,53.6089045
1,1.5625,1.225,0.3875,31.6096925
1,1.3125,1.0625,0.3625,22.66542525
1,1.525,1.225,0.425,33.38153625
1,1.3125,1.025,0.3375,22.41027975
0,1.4125,1.1625,0.4375,28.2077525
1,1.375,1.075,0.3125,26.1665885
0,1.6,1.2625,0.4125,40.92250325
1,1.625,1.2375,0.3875,37.9032815
0,1.125,0.8625,0.2625,11.66581925
0,1.475,1.175,0.4,34.189497
0,1.1125,0.85,0.3,12.68640125
1,1.575,1.25,0.4375,31.48211975
0,1.625,1.2375,0.4,36.967748
1,1.4375,1.125,0.4,30.277266
1,1.3125,1.075,0.4125,20.3265915
1,1.2,1.0125,0.325,18.07280625
0,1.325,1.0625,0.325,21.13455225
1,1.1375,0.875,0.3125,12.71475075
1,1.5875,1.2125,0.4125,35.98969025
1,1.1625,0.875,0.3375,17.76096175
0,1.575,1.2375,0.4,30.9860035
0,1.6125,1.275,0.4,33.55163325
1,1.3125,1.0,0.325,19.83047525
0,1.125,0.8,0.25,10.8011595
0,1.4625,1.175,0.4125,39.9444455
1,1.4625,1.1875,0.4625,24.30969625
0,1.2375,0.9375,0.2875,17.70426275
1,1.1375,0.9125,0.275,10.9145575
0,1.7375,1.3125,0.4375,49.384829
1,1.7625,1.3375,0.55,52.900167
1,1.1625,0.9375,0.3375,17.0097
0,1.425,1.2,0.45,26.63435525
0,1.75,1.5,0.575,56.7840485
1,1.775,1.25,0.375,37.32211675
1,1.4375,1.0875,0.3875,25.44367625
1,1.45,1.15,0.4375,33.0271675
0,0.925,0.7,0.25,7.144074
0,0.85,0.6625,0.2125,5.20213325
1,1.1875,0.875,0.2875,12.813974
1,1.175,0.9,0.275,14.07552675
0,1.6625,1.25,0.4375,36.78347625
0,1.725,1.2875,0.45,52.29065275
0,1.6,1.2625,0.3875,39.76017375
0,1.425,1.0875,0.3625,25.67047225
1,1.6,1.25,0.4375,39.519203
0,1.6625,1.2625,0.4,36.5425055
0,1.675,1.25,0.5,35.9755155
1,1.425,1.1,0.475,28.859791
0,1.3625,1.1,0.4125,21.092028
0,1.1375,0.9125,0.2375,14.571643
0,1.8,1.375,0.5125,60.2426875
0,1.5375,1.2625,0.4125,37.98833
0,1.4,1.125,0.3625,26.52095725
1,1.7,1.25,0.4625,49.3564795
1,1.3875,1.05,0.275,26.3933845
0,1.75,1.4125,0.4375,52.63084675
1,1.3,1.025,0.425,24.67823975
1,1.175,0.9,0.325,13.380964
0,1.7125,1.3,0.4125,43.0628905
0,1.4625,1.275,0.4,34.529691
1,1.5,1.175,0.425,30.63163475
1,1.5625,1.2125,0.4125,34.74231225
1,1.5375,1.225,0.475,32.16250775
0,1.65,1.3125,0.5,42.2124055
1,1.675,1.375,0.3875,44.395317
1,1.2625,1.0625,0.35,24.097075
1,1.525,1.2125,0.4125,30.94347925
0,1.175,0.975,0.375,18.01610725
0,1.5,1.1625,0.4125,29.69610125
1,1.1625,0.975,0.275,18.01610725
0,1.4,1.05,0.4875,22.92057075
0,1.375,1.05,0.4,38.00250475
1,1.3125,1.1,0.375,23.88445375
1,1.575,1.2625,0.4875,37.024447
1,1.0,0.8,0.275,10.0073735
0,1.5625,1.25,0.45,38.85298975
0,1.35,1.025,0.3625,28.0376555
1,1.5875,1.275,0.4625,36.457457
0,1.3,0.9875,0.3125,16.48523425
0,1.575,1.225,0.375,33.89182725
0,1.125,0.875,0.325,13.19669225
0,1.475,1.1125,0.35,26.3933845
0,1.55,1.2,0.3875,35.59279725
